,ActivePower,WindSpeed,Temperature
2019-01-01 00:00:00+00:00,443.3107,6.0573,19.4340
2019-01-01 01:00:00+00:00,316.6917,5.4483,19.3507
2019-01-01 02:00:00+00:00,162.4457,4.4422,20.0512
2019-01-01 03:00:00+00:00,101.8424,3.8521,21.2889
2019-01-01 04:00:00+00:00,161.7840,4.2908,22.4448
2019-01-01 05:00:00+00:00,191.7029,4.4197,23.7019
2019-01-01 06:00:00+00:00,118.0856,4.0500,25.4651
2019-01-01 07:00:00+00:00,169.2158,4.2358,26.2000
2019-01-01 08:00:00+00:00,76.2241,3.8455,27.3032
2019-01-01 09:00:00+00:00,132.0094,4.1269,27.8460
2019-01-01 10:00:00+00:00,193.2185,4.3401,28.0004
2019-01-01 11:00:00+00:00,155.9466,4.3561,27.6486
2019-01-01 12:00:00+00:00,260.2499,4.9497,26.7492
2019-01-01 13:00:00+00:00,650.0108,6.5241,25.7894
2019-01-01 14:00:00+00:00,692.4810,6.7351,24.8119
2019-01-01 15:00:00+00:00,447.4168,5.9247,23.9338
2019-01-01 16:00:00+00:00,633.9163,6.5107,23.1643
2019-01-01 17:00:00+00:00,918.7167,7.2888,21.9714
2019-01-01 18:00:00+00:00,1011.4630,7.5209,20.5911
2019-01-01 19:00:00+00:00,956.6361,7.4619,20.0788
2019-01-01 20:00:00+00:00,702.0015,6.7206,19.8988
2019-01-01 21:00:00+00:00,724.8991,6.8653,19.6998
2019-01-01 22:00:00+00:00,702.5773,6.8597,19.2516
2019-01-01 23:00:00+00:00,604.1906,6.5194,18.8568
2019-01-02 00:00:00+00:00,448.3664,6.0019,18.9048
2019-01-02 01:00:00+00:00,427.8867,5.9281,19.1311
2019-01-02 02:00:00+00:00,104.6442,4.0114,19.6499
2019-01-02 03:00:00+00:00,86.8879,3.8251,21.3343
2019-01-02 04:00:00+00:00,377.0839,5.3982,22.6772
2019-01-02 05:00:00+00:00,566.3040,6.0164,23.8431
2019-01-02 06:00:00+00:00,482.5912,6.0606,25.0673
2019-01-02 07:00:00+00:00,410.0142,6.0265,26.4048
2019-01-02 08:00:00+00:00,268.3354,4.9166,27.6207
2019-01-02 09:00:00+00:00,207.3679,4.4082,28.1286
2019-01-02 10:00:00+00:00,218.4785,4.4237,28.3695
2019-01-02 11:00:00+00:00,167.6325,4.2361,28.0827
2019-01-02 12:00:00+00:00,224.3453,4.7252,27.3723
2019-01-02 13:00:00+00:00,241.3805,4.9087,26.7654
2019-01-02 14:00:00+00:00,546.4127,6.1978,25.7875
2019-01-02 15:00:00+00:00,834.5346,7.3606,25.0878
2019-01-02 16:00:00+00:00,763.0161,6.9961,24.3540
2019-01-02 17:00:00+00:00,739.6407,6.7265,23.6452
2019-01-02 18:00:00+00:00,623.7975,6.3802,22.8658
2019-01-02 19:00:00+00:00,558.6470,6.2830,21.7354
2019-01-02 20:00:00+00:00,411.6342,5.6903,21.0560
2019-01-02 21:00:00+00:00,268.3769,5.1640,20.7618
2019-01-02 22:00:00+00:00,307.9877,5.4732,20.6819
2019-01-02 23:00:00+00:00,323.3613,5.5465,20.6498
2019-01-03 00:00:00+00:00,296.0993,5.3707,20.2535
2019-01-03 01:00:00+00:00,318.3260,5.4377,19.9647
2019-01-03 02:00:00+00:00,92.7096,3.8023,19.7589
2019-01-03 03:00:00+00:00,4.1017,2.9756,21.6086
2019-01-03 04:00:00+00:00,76.4225,3.6386,23.2822
2019-01-03 05:00:00+00:00,15.2944,3.2804,24.9560
2019-01-03 06:00:00+00:00,9.1288,3.2325,27.1104
2019-01-03 07:00:00+00:00,29.1562,3.4420,28.2051
2019-01-03 08:00:00+00:00,96.5106,3.8506,29.2331
2019-01-03 09:00:00+00:00,156.6892,4.2018,29.6759
2019-01-03 10:00:00+00:00,174.3037,4.2763,29.7691
